x	y	Color
1.06	3.35	Azul
0.9	2.87	Azul
1.24	2.93	Azul
2	3.17	Azul
1.76	2.73	Azul
1.58	3.43	Azul
0.76	2.25	Azul
1.28	2.41	Azul
0.66	3.39	Azul
0.4	3.03	Azul
1.18	3.95	Azul
1.9	3.51	Azul
1.68	2.45	Azul
1	2	Azul
0.4	2.65	Azul
3.23	1.67	Rojo
3.37	1.09	Rojo
3	1	Rojo
5	2	Rojo
4.23	1.65	Rojo
4	2	Rojo
4.03	1.25	Rojo
3.67	0.79	Rojo
4.71	1.19	Rojo
4.47	0.95	Rojo
5.77	1.27	Rojo
5.21	0.83	Rojo
3.87	0.53	Rojo
3.43	0.55	Rojo
4.75	0.49	Rojo
1.87	4.17	Azul
2.37	4.03	Azul
2.49	3.61	Azul
2.43	3.23	Azul
0.65	1.87	Azul
0.65	3.89	Azul
2.27	4.73	Azul
1.47	4.67	Azul
0.39	2.23	Azul
2.87	3.93	Azul
4.97	2.69	Rojo
5.43	2.55	Rojo
5.89	2.25	Rojo
5.55	1.85	Rojo
6.45	0.89	Rojo
5.75	0.67	Rojo
2.79	0.69	Rojo
2.79	1.45	Rojo
2.25	0.91	Rojo
2.47	0.33	Rojo
